train_idx,text,label,label_text
0,i really do recommend this to anyone in need of a new player,1,positive
1,very good every day camera fits nicely in the pocket of my jeans and takes quality photos,1,positive
2,"but , dollar for dollar , this dvd player is probably the best out there",1,positive
3,i got this phone yesterday and didn ' t find any problems with it yet,1,positive
4,1 ) price gb of storage,1,positive
5,one cabinet shop has been using one regularly in a router table for 11 years without a problem,1,positive
6,i will say that the os that the phone runs does have a few issues,0,negative
7,this model appears to be especially good,1,positive
8,i find that it is stable in my hands and its ' weight actually contributes to that stability,1,positive
9,"the catch is that , while it plays movies just fine , it has refused to read second discs with the movie extras on them on the two occasions when i tried to do that",0,negative
10,cons no am fm radio tuner something a large number of compete tors are doing,0,negative
11,"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus",1,positive
12,"this is only a problem at night , during the day the screen is very easy to see",0,negative
13,for my first i had a diaper genie which was not only costly with the refills but it was also very stinky,0,negative
14,the tech support is worthless too,0,negative
15,the navigation takes so much time that it would eventually drive you crazy,0,negative
16,"it does n ' t have firewire , not a real complaint since most windows users do n ' t generally have firewire cards themselves",0,negative
17,"i love the rounded edges now , fits so much better in a pocket , jeans or suit",1,positive
18,this thing does everything but washes your dishes,1,positive
19,"unfortunately , after loading 280 songs , all i get now is player either not connected or busy",0,negative
20,it is crystal clear,1,positive
21,"the zen xtra will transfer the files to the player , but not the folder name",0,negative
22,"the camera does a great job with exposure and prints made with my professional printer looks great ( not as good as prints from my pro digital camera , but still very good )",1,positive
23,"you of course have some good customization options with the unit as well ( sound presets , navigating options , playlists , etc )",1,positive
24,i built my own router table with a tilt up top made a hand crank to replace the height adjustment knob these two things make it easy to change out raise or lower the bits,0,negative
25,i had some issues when i had enabled wep encryption and then moved on to wpa,0,negative
26,"after hooking the thing up , i found that it would only played less than 50 of the dvds i put in it",0,negative
27,"it would have been much nicer if it had a window so you could see the screen , and if the button did n ' t cover up the ac jack",0,negative
28,"so i e mailed the online tech support with that simple question , and got a reply which was totally unresponsive ( it looked as though they didn ' t actually read the e mail and just sent back a few boilerplate paragraphs )",0,negative
29,this one has a good looking,1,positive
30,very long lasting battery life,1,positive
31,"the voice recorder is a beautiful add on not even necessary , but just an example of why apple just wants your money and creative labs wants to make a better player",1,positive
32,"however , in my mind , 299 is a lot to pay for a device that will only last 18 months",0,negative
33,the only problem i have is with the handle you use to open the top compartment,0,negative
34,"for those mac osx users out there , isync works fairly well",1,positive
35,no one has ever come to my house and noticed ' diaper odor ',1,positive
36,what really made this a mediocre mp3 player for me was the software,0,negative
37,"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality",1,positive
38,i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down now buy it !,1,positive
39,the af feature did a great job converting the letterbox to fill 3 4 of the screen and the image still looked normal,1,positive
40,another point of note the battery life is incredible !,1,positive
41,it definitely keeps the smell out,1,positive
42,simple to use and hook up,1,positive
43,the sound is not loud enough when i play back the video clips on the camera,0,negative
44,"combine this with the excellent price we got in the gold box , and i ' m really happy",1,positive
45,thank you apple ! you make fabulous products,1,positive
46,"not only is it more affordable , but its a better player for windows , which is what i have",1,positive
47,i have no problem using the player itself and i feel it is a very good player,1,positive
48,"it ' s very sleek looking with a very good front panel button layout , and it has a great feature set",1,positive
49,"my old siemens s56 , on the other hand , worked beautifully with all of the above",0,negative
50,"this is my fourth linksys product and , aside from the rough start , i ' m very satisfied with this router",1,positive
51,"the player has its minor glitches like for example when i turn it on , 60 percent of the time , it sis , shutting down , which means i have to turn off , and turn it on again , which is not to my likings",0,negative
52,it 's easy,1,positive
53,and it is extremely well priced for what you ' re getting,1,positive
54,"also , it takes any kitchen sized trash bag , so there is no special bag to stock",1,positive
55,"within one month , my player completely died",0,negative
56,"the sound is great , the portability , etc all the stuff you expect from a good mp 3 player , this zen micro has it",1,positive
57,if there was a zero star rating i would give it,0,negative
58,speakerphone,1,positive
59,we empty ours every day and we have never had an odors from it !,1,positive
60,i took it to my father ' s house to play a tom jones concert dvd and he loved the player so much i gave it to him,1,positive
61,colors 10 variety of hot colors made it difficult to choose from,1,positive
62,"the only drawbacks i ' ve encountered are 1 indoor shots from a distance 8ft lack contrast and color , but i ' ve found this to be a problem with all cameras with built in flashes that i ' ve used even on a nikon slr",0,negative
63,where close to 12 hours but at least it is replaceable ( and they included a second one free ),0,negative
64,"all in all , the diaper champ serves its purpose , but it does not live up to its good reviews",0,negative
65,you can set the optical zoom before shooting and than while shooting video adjust a digital zoom in and out however due to the cameras light weight camera shake is a problem to contend with,0,negative
66,"overall , the micro is a solid device and i haven ' t fell into a problem with it yet knocks on wood",1,positive
67,"easy to use , small form factor , and looks good to boot",1,positive
68,"the battery life is ok , but can be somewhat short when working a lot with the monitor on",1,positive
69,"there were a few attractive features , such as the small size and the layout of the remote",1,positive
70,it ' s also easy to empty out,1,positive
71,"although i disabled norton antispam , it is still there",0,negative
72,this is a must have product for all new moms !,1,positive
73,it has fm radio option and i can listen to music anytime,1,positive
74,so far it all works fine with either cable or wireless connections,1,positive
75,"i loved it until it broke , but less than a month is not an acceptable period of time for something to work",0,negative
76,the only problem i have with the buttons is that the power button and print share button don ' t have a nice click,0,negative
77,"but i ' ve already emailed creative tech support about it , and gotten timely responses they will fix it for me if necessary",1,positive
78,"when it came down to it , the price on this player is hard to beat",1,positive
79,just bought one i ' ve enjoyed it to date,1,positive
80,"8 ) creative mediasource , although not as sleek looking as windows media player , is effective in organizing your collection and is linked to a good cb service ( gracenotes )",1,positive
81,the most recent is that it will stop responding to the on off button,0,negative
82,"i found best results in most situation with manual center auto focus , manual mode , iso 100 ( shorter aperture time , so more often sharper images as with iso 50 ) , auto white balance ( auto white balance is better than of the other canon cameras i have and they already do very well )",1,positive
83,i find it a bit difficult to manage the very tiny buttons and impossible to read the icons without my reading glasses on,0,negative
84,"my sd500 focuses flawlessly , does not whine during video , and my pictures are razor sharp",1,positive
85,"the mobile text messaging , chat , picture sharing etc other niceties , that you would enjoy",1,positive
86,pros large hard drive for the 20gb and 40gb are both affordable,1,positive
87,"it ' s small , light and nice looking and the display is decent as well",1,positive
88,"great phone , easy to use , excellent network , no regrets ! ! !",1,positive
89,record memos using the built in microphone,1,positive
90,it has a nice color screen,1,positive
91,the sound quality is also nice after i hooked up my sony headphones instead of those factory earbuds it comes with,1,positive
92,the scroll bar problems make the task of creating playlists more frustrating,0,negative
93,"after multiple tries , one of the disks was finally recognized but video was poor and features not available",0,negative
94,"anyway , my wife got this for me for my birthday and i love the thing",1,positive
95,this phone is one of the milestones in the history of the cellular phones,1,positive
96,"however , i am very disappointed with this product and with symantec",0,negative
97,"the software was great , as long as you have an administrative user account ( windows xp )",1,positive
98,it is mindless to operate,1,positive
99,"one more thing , the default ringtones that come with the phone are horrible",0,negative
100,this is an excellent router for the money,1,positive
101,"the xtra improves upon the zen nx with a larger , now blue backlit screen , which is infinitely better",1,positive
102,"even better , with the optional headset you can listen to music over the integrated radio",1,positive
103,incredible memory !,1,positive
104,the 6600 will provide similar service in more developed areas of the states and not as well in more remote areas,0,negative
105,1 the ability to selectively switch to raw format during record review gives you incredible more post processing flexibility,1,positive
106,"no offense to amazon , but i was able to find one online for just over 200 bucks ( i ' m sure prices here will continue to sink ) , and that also seemed quite a good bargain for the amount of storage space",1,positive
107,i particularly like the txt file which records all the control information for all the pictures you take,1,positive
108,"one little minor flaw with this camera is that the lens is visible in the viewfinder , but does not detract from the image at all",0,negative
109,"the buttons on the phone are small , even for my small fingertips , but you get used to them rather quickly",0,negative
110,"i was fortunate to get the packaging that still included all the accessories ( desk stand hard case , belt clip , wall charger , etc )",1,positive
111,"it doesn ' t stink , ever ( like some have assumed since it doesn ' t wrap each diaper into its own neat little cocoon )",1,positive
112,"luckily , with 3 rebates this product will cost me nothing ! it is indeed worth nothing",1,positive
113,ripping your songs and creating playlists could n ' t be any easier,1,positive
114,"the subscription files are still a little slower to transfer , but it 's only by about 10 or so",0,negative
115,"other than that , this is a perfect phone for those of us with no patience for flips",1,positive
116,possibly the biggest advantage this player has ( if price was n ' t enough ) is the fact that the user can replace the battery him herself by opening the lid and popping in the new battery,1,positive
117,2 excellent picture quality and so simple to use ! ! !,1,positive
118,in addition it comes with a sleek and powerful headset,1,positive
119,it takes great pictures,1,positive
120,"the buttons are easy to use , and its easy to navigate",1,positive
121,for last one month my rebate status showing me that my rebate is approved and check is delivered but still i am waiting for check,0,negative
122,i ' ve printed several photos and the prints look as good as the screen views,1,positive
123,there technical service isn ' t helpful either they just read what ' s on their website and charge you 50 ( toll fees ) to do it,0,negative
124,have used it frequently and have had no problems,1,positive
125,the best part about this router is now i have a dhaka server,1,positive
126,"its speakerphone option allows us to do long talks conveniently , lying on bed 38 phone lying by your pillow side",1,positive
127,i think it is a combination of the program size taking up resources and the open close scanning that it does with every program,0,negative
128,first i ' ll start off by saying that this players hardware is pretty good,1,positive
129,"( i never know when the champ is full as there is no way too tell even though not particularly aesthetic , how about making the champ clear and see through ? ) so , i lift the lid and find a wad of diaper , which i must remove , usually stuck inside the lid itself because the bag is too full",0,negative
130,"the color screen is a plus , as are the polyphonic ringtones",1,positive
131,whatever on to the negatives touchy about charging you can damage the battery and seriously decrease it ' s life if you don ' t upgrade the firmware or dont ' heed the advice to always plug in the player side of the cord before plugging in the outlet side,0,negative
132,the powershot g3 is a great camera,1,positive
133,4 megapixels is enough for anybody and the photo quality is awesome,1,positive
134,"well flash photos are never great , and there was still a lot of noise",0,negative
135,3 ) folders can not be created for the audio files,0,negative
136,this is the best camera you can have for digital images if you want to,1,positive
137,creative was defiantly giving the ipod a run for their money with this device,1,positive
138,the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options,1,positive
139,"one other issue is that the headphone jack is unique to nokia , so standard headphones will not work",0,negative
140,creative software stinks,0,negative
141,"i read many reviews on norton i s 2004 from a variety of sources ( cnet , amazon , message boards ) and came to the conclusion that nis 04 was a terrible product and not worth the update",0,negative
142,same story as everybody else when trying to get service from apex nothing,0,negative
143,i 've had this player for more than 4 months and i 'm very happy with it,1,positive
144,"i have had several mp3 players over the past few years , and have to say that this by far is the best that i ' ve owned",1,positive
145,"one bad thing though , i find the remote control a bit flimsy and i predict it will most probably ' die ' before the player does",0,negative
146,the menus are easy to navigate and the buttons are easy to use,1,positive
147,im a more happier person after discovering the i p button !,1,positive
148,the black fly wheel feels pretty cheap is uncomfortable to use,0,negative
149,this is a terrible company with a bad product and awful support,0,negative
150,customer service and technical support are overloaded and non responsive tells you about the quality of their products and their willingness to stand behind them,0,negative
151,i am very pleased with the apex ad2600 it plays just about anything you put in the drawer,1,positive
152,great price,1,positive
153,the plunge lock and power switch are very easily accessible which is a must when doing free hand routing,1,positive
154,the manual mode is feature rich and i can ' t wait to get the hang of it,1,positive
155,the g3 has most if not all of the features that you would want from a semi pro pro slr with a good range of manual options for those who know something about photography,1,positive
156,this setup using the cd was about as easy as learning how to open a refrigerator door for the first time,1,positive
157,"i don ' t have problems with the depth adjustment , the speed control , the collet ( i haven ' t tried the 1 4 sleeve yet )",1,positive
158,the other controls are all very easy to use,1,positive
159,and it fits right in my pocket much easier than my old s30,1,positive
160,"in a word , awesome is how i would describe this camera",1,positive
